xZineCorex Metadata Application Profile version 1.0,,,,,,,
,,,,,,,
Class,Property,ZineCore Label/Field,Dublin Core Field Mapping,Dublin Core Field URI,Associated Vocabularies / Formats,Cardinality,Changes
,,Title,Title,http://purl.org/dc/elements/1.1/title,n/a,,"Enable attributes (in XML) or classes/properties (in RDF) for variant titles (uniform, translated, multiple, etc.)"
,,Creator(s),Creator,http://purl.org/dc/elements/1.1/creator,"NAF, Dbpedia, Zine Wiki",,
,,Subject(s) / Genres,Subject,http://purl.org/dc/elements/1.1/subject,"LCSH, Anchor Archive Subject Thesaurus",,We need to separate out Subject and Genre. They represent fundamentally different descriptive aspects.
,,Content description/notes,Abstract / Description,http://purl.org/dc/terms/abstract / http://purl.org/dc/terms/description,n/a,,
,,Publisher(s),Publisher,http://purl.org/dc/elements/1.1/publisher,"NAF, Dbpedia, Zine Wiki",,Controlled field? 
,,Contributor(s),Contributor,http://purl.org/dc/elements/1.1/contributor,"NAF, Dbpedia, Zine Wiki",,"Difference between contributor and creator? Should creator become name class with properties for name role types (creator, contributor, illustrator, etc.)? If so, should we consider basing our work more off MODS and less off DC?"
,,Date of publication,Date / Created,http://purl.org/dc/elements/1.1/date / http://purl.org/dc/terms/created,ISO 8601 (for machine readable),,Wish to have both machine readable and human readable dates? Will also require attributes/properties
,,Type,Type,http://purl.org/dc/elements/1.1/type,DCMI Type Vocabulary (all will be 'Text'); expand type vocabulary for zines?,,"Compare with Genre, review need for this info."
,,Format / physical description,Format,http://purl.org/dc/elements/1.1/format,n/a currently,,Physical format - perhaps looking into local formats list for zines to cover unique/unususal formats for this type of resource.
,,Identifiers (union ID#),identifier,http://purl.org/dc/elements/1.1/identifier,include uris where possible,"<identifier type=""zcore"">","would like to include multiple identifiers - ZC URI, local catalog bib id, others - again, will need attributes/properties so computers/discovery interface can separate these out"
,,Source,Source,http://purl.org/dc/elements/1.1/source,n/a,,
,,Language,Language,http://purl.org/dc/elements/1.1/language,marc language codes,,
,,Relation (see also),Relation,http://purl.org/dc/elements/1.1/relation,n/a,,
,,Coverage (place of publication),Coverage,http://purl.org/dc/elements/1.1/coverage,"LCSH, NAF for geographic names",,
,,Rights (freedoms and restrictions),Rights,http://purl.org/dc/elements/1.1/rights,n/a,,
,,Type,Type,http://purl.org/dc/elements/1.1/type,Jenna's list,,
